,Location,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8
0,10,200.0,50.0,3.5,12.0,4.0,30,31,83,20,84,101,69,69,69
1,30,100.0,50.0,3.5,11.0,4.0,30,42,29,69,69,69,69,69,69
2,19,150.0,50.0,3.6,99.0,30.0,65,47,92,31,69,69,69,69,69
3,28,250.0,99.0,3.7,176.0,95.0,30,68,73,26,69,69,69,69,69
4,26,200.0,99.0,3.2,521.0,235.0,65,22,14,69,69,69,69,69,69
5,26,150.0,50.0,3.8,46.0,18.0,30,88,73,26,69,69,69,69,69
6,19,150.0,50.0,3.7,108.0,31.0,30,14,31,69,69,69,69,69,69
7,8,650.0,50.0,4.0,1731.0,1235.0,45,26,97,5,69,69,69,69,69
8,8,100.0,50.0,3.9,110.0,26.0,30,65,92,69,69,69,69,69,69
9,28,200.0,50.0,3.9,562.0,294.0,65,31,73,83,26,67,68,69,69
10,19,350.0,50.0,3.8,186.0,61.0,30,73,26,68,69,69,69,69,69
11,34,800.0,50.0,4.2,1693.0,1239.0,45,26,97,44,47,69,69,69,69
12,28,150.0,50.0,0.0,0.0,0.0,30,20,31,29,14,69,69,69,69
13,8,50.0,0.0,3.8,184.0,128.0,45,14,69,69,69,69,69,69,69
14,5,100.0,50.0,3.5,23.0,5.0,30,31,69,69,69,69,69,69,69
15,18,100.0,50.0,3.6,353.0,53.0,30,16,68,69,69,69,69,69,69
16,28,100.0,50.0,0.0,0.0,0.0,30,47,69,69,69,69,69,69,69
17,9,200.0,50.0,3.7,139.0,47.0,30,26,73,88,31,69,69,69,69
18,24,150.0,50.0,0.0,0.0,0.0,30,52,15,69,69,69,69,69,69
19,11,100.0,50.0,3.7,159.0,46.0,30,88,69,69,69,69,69,69,69
20,4,200.0,99.0,2.8,67.0,23.0,45,26,73,83,67,69,69,69,69
21,29,150.0,50.0,3.9,387.0,160.0,45,73,83,69,69,69,69,69,69
22,4,250.0,50.0,3.0,5.0,2.0,30,73,26,69,69,69,69,69,69
23,4,200.0,99.0,3.7,138.0,26.0,65,16,73,69,69,69,69,69,69
24,30,150.0,50.0,3.2,4.0,1.0,30,73,26,31,69,69,69,69,69
25,17,100.0,50.0,0.0,0.0,0.0,45,29,42,69,69,69,69,69,69
26,4,100.0,99.0,3.7,110.0,38.0,45,73,26,69,69,69,69,69,69
27,19,150.0,50.0,3.2,15.0,9.0,45,31,88,92,69,69,69,69,69
28,9,150.0,50.0,3.3,44.0,19.0,45,73,69,69,69,69,69,69,69
29,28,200.0,50.0,3.8,18.0,18.0,30,73,26,69,69,69,69,69,69
